mapping_version	backend	canonical_kernel_name	shared_kernel_id	family_contract_display_id	semantic_operation_id	kernel_owner_cell_key	member_count
v1	archsimd	convertUTF32ToUTF16LE	shared-kernel-v1-41a4d5ff2fc3a15e79b5bd892429dc616a4d9ebb6e0389affb25bc6021d61536	FC-v1-utf32-source	op-v1-ea2475b4ee7714eee51951faef2b0c9e3bd230f1ed9c34abab54f52ccdedd4d7	cell-v1-91a184979e78920f7959db8ba2a4c17a1efd83abfe3a0e8b29c91b76bb940d80	2
v1	archsimd	convertUTF16LEToUTF8WithReplacement	shared-kernel-v1-4293d7c5460aaf23bcf71af010c936813368dcececcd11c5d33ad6bd8124e254	FC-v1-utf16-source	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	cell-v1-a9ce601623fd6dfb087110e69436c94526177038c3abc833a264a7787cb2b2b1	1
v1	archsimd	convertUTF32ToUTF16BEWithErrors	shared-kernel-v1-43fd28768b6537337a82ab2933553d202693cf41d6eb919afc59a75a71538fe6	FC-v1-utf32-source	op-v1-ea2475b4ee7714eee51951faef2b0c9e3bd230f1ed9c34abab54f52ccdedd4d7	cell-v1-855e1e2fea5d1aa2cf69f6a68a1550f00b4436f5cd51d523dda31b65bc9c123a	1
v1	archsimd	convertValidUTF8ToUTF16BE	shared-kernel-v1-451030642f29f0d8cac5559eecacb365d293ece99cf622fa08736b7a47889b44	FC-v1-utf8-source	op-v1-40ff3813edc41e431f3dfdfd52ef8beeeb37db6a3a1a28156be20f66ed3e1dca	cell-v1-d24ecd2145f0336340e632ae54517e546bc5f531b2e96e3d699f3ab6946594e7	1
v1	archsimd	convertUTF16BEToLatin1	shared-kernel-v1-462ffed3707a777492d21a85b66264ddc3e66bbea109faa40209006ca0783f5b	FC-v1-utf16-source	op-v1-23e074688c6da1c3d0e4e2753a70d2f71051002554b52104e12d3ab4ad6edb82	cell-v1-8500838ba90b4adabba6a51135ef9da02a7274bf035fa9f53308add082095747	2
v1	archsimd	validateUTF32WithErrors	shared-kernel-v1-4783411a076b2af462198a9fa81d89da114efbcc06f7eb7302c4aa3513054dfb	FC-v1-helper-validation	op-v1-fcf3c75ef3a8f35fde8f3d10682e337ae82354741896c312930200ba84199588	cell-v1-f72359bd52e0a48224cee956e837a41a35eaac95ee7b4beca65a08fba8dce9a6	1
v1	archsimd	binaryLengthFromBase64	shared-kernel-v1-4f27a4f9ac9558081cfcc8910aa236a26535cad303b6be2b14b1f86b2320ae79	FC-v1-base64	op-v1-26b7be20b0edb4bbe19d6040c653a2816d536b2323353575cfe0c48bfbaa7fe5	cell-v1-f03a7aa4e22375baf12869544f262de97774d68640f13d2efc541424ad19af7a	1
v1	archsimd	convertUTF32ToLatin1	shared-kernel-v1-54d637f37d64ff5235921eea32204e18028ea8c8d4c09c2e7cc1f902f4920c06	FC-v1-utf32-source	op-v1-1e18b5d883af6824d11bf9595275b60b5dadfa3aceb16261ccf26a7f62f04ed9	cell-v1-8fea805f4007e03c1fb5a87e468f0ecfd96c86ad6e8e05d174b52528082dbb50	2
v1	archsimd	convertUTF16LEToUTF32	shared-kernel-v1-5814e1a921fe82542a459c4216d4e8325999586c53b65144fe5da152d34a79de	FC-v1-utf16-source	op-v1-6eea92180fce34d88c932293380df3d76d366c3edd7e0ec5957e9ab46316c226	cell-v1-11f0feffe0ac827a494b00cb40213f4c986d2de0ef34a2787a159d4e53dab773	2
v1	archsimd	convertUTF16LEToUTF8	shared-kernel-v1-59028569d066aa38c6858f372b4949183c63915d83f5dd53af5a1bda54c80cf5	FC-v1-utf16-source	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	cell-v1-c6c082c43083abff01e21002804e1e551e92f7c52611e0697e4b1430375b2042	2
v1	archsimd	convertValidUTF8ToUTF32	shared-kernel-v1-5d0c3f07c98448c5ab9da5a77be78de6cea5913fa8f5dd606745c9f5ebf09fb1	FC-v1-utf8-source	op-v1-e873fa9443cdd8f0da23033c51511f306b365bb447808f2c01e2a44185f4b40d	cell-v1-0ce5c0a357d0f04e313067e071425d3b07a848ab340ea3915791921020d36fa0	1
v1	archsimd	convertUTF16LEToUTF8WithErrors	shared-kernel-v1-61371b2e269e6da370649b68e07a4cab336510341a17c47d66bc125176316656	FC-v1-utf16-source	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	cell-v1-f1e8c7da9d3deeb094dc1b9b480635360d544d776e5022191435dbce540afd59	1
v1	archsimd	convertUTF32ToUTF8	shared-kernel-v1-658b8efd90e96f01c9e3ffe91e527e51ea60fbd17e034ce7bd8ac55bd586058f	FC-v1-utf32-source	op-v1-ab0bc72785d23b8753a399b8c46dce11e242254d665fb6c0e7d355fc76f47d7a	cell-v1-d88650be1a0ea22403ccad4f88b404cf38bc0d99630591b012d491e00ee83a61	2
v1	archsimd	convertUTF16BEToLatin1WithErrors	shared-kernel-v1-6606f10cef5ea82b9ad127bc8a8b9ed787e90a96c4b881971cb582ba9240fbba	FC-v1-utf16-source	op-v1-23e074688c6da1c3d0e4e2753a70d2f71051002554b52104e12d3ab4ad6edb82	cell-v1-799233dfdf4f9443c9194776f3fd79aef3f5c6fdd9ece29fecc793069f6a6a87	1
v1	archsimd	findUTF16	shared-kernel-v1-6c7ae9ddaca61d6163967aa1bcf04baba6a4ffc52cd38e35a378db7bb062b9de	FC-v1-find	op-v1-f457b8d0b8064fed65b7673d88f36043087ed548c21061e445413e0c72973a5e	cell-v1-a179c70bbfeed8f7dab385600d001dc56db7c690e92f0189c2bef7678a98d52e	1
v1	archsimd	convertUTF16BEToUTF32WithErrors	shared-kernel-v1-8e2dce0842a814d5d6206dd90788f9ec55a193b6cd56a2267e7ca703d98aa20c	FC-v1-utf16-source	op-v1-6eea92180fce34d88c932293380df3d76d366c3edd7e0ec5957e9ab46316c226	cell-v1-333878be40f7b7ade6da233be1b602476865cdb2dd68a8b2a12c59dcdfba2eb6	1
v1	archsimd	toWellFormedUTF16LE	shared-kernel-v1-8fb9b2be2341c0840c4b0b3abb4c343b9c547ce2c5b69dc17e371750be96ba01	FC-v1-helper-validation	op-v1-9a03658c5a22f236d7c1ed6a8e4dd239f57ce39a454a43d6890cf3e1212f178a	cell-v1-1d9fc148f27a5005b8f7f45e911f3c7ea0edbbaddd05dd534ce1f71053c306c0	1
